user_id,age,country
1,56,United States
2,63,United States
3,30,United States
4,22,Brazil
5,50,United States
6,43,United States
7,21,United States
8,48,Canada
9,51,United States
10,57,Brazil
11,42,United States
12,53,United States
13,16,Germany
14,26,Brazil
15,37,United States
16,29,Australia
17,37,United States
18,40,United States
19,70,India
20,32,France
21,62,India
22,23,Spain
23,40,United States
24,34,Japan
25,55,South Korea
26,39,Canada
27,61,United States
28,58,United States
29,34,Spain
30,70,United States
31,22,India
32,45,Canada
33,39,United States
34,38,United States
35,33,Brazil
36,59,Brazil
37,54,Canada
38,50,Germany
39,26,India
40,33,Spain
41,56,Brazil
42,30,Brazil
43,69,France
44,19,United States
45,18,France
46,41,United States
47,29,Mexico
48,52,South Korea
49,36,United States
50,47,India
51,57,India
52,32,United States
53,63,Canada
54,32,Germany
55,43,Mexico
56,41,India
57,24,United Kingdom
58,21,Germany
59,23,United States
60,26,France
61,43,Canada
62,40,India
63,45,United Kingdom
64,51,South Korea
65,16,Brazil
66,23,Brazil
67,50,Germany
68,65,Brazil
69,23,United States
70,26,India
71,62,South Korea
72,32,Spain
73,64,United States
74,22,South Korea
75,35,Japan
76,48,Canada
77,25,India
78,26,United Kingdom
79,65,Mexico
80,16,Canada
81,47,United States
82,39,South Korea
83,69,France
84,31,United States
85,52,Australia
86,21,Germany
87,68,United States
88,64,United Kingdom
89,24,United States
90,46,Australia
91,26,United States
92,54,India
93,29,Mexico
94,64,Germany
95,28,Germany
96,41,Spain
97,57,India
98,49,India
99,31,United States
100,37,United States
101,51,United States
102,30,United States
103,61,Canada
104,30,United States
105,18,South Korea
106,20,United Kingdom
107,33,Brazil
108,29,United Kingdom
109,62,Mexico
110,52,Canada
111,31,France
112,67,India
113,22,United States
114,43,India
115,42,India
116,62,United States
117,57,Spain
118,22,United States
119,62,India
120,22,United States
121,28,United Kingdom
122,24,India
123,33,India
124,20,India
125,70,United Kingdom
126,19,Brazil
127,50,Japan
128,21,Mexico
129,70,United States
130,42,United Kingdom
131,29,South Korea
132,19,United States
133,16,Spain
134,32,Mexico
135,66,India
136,43,Brazil
137,62,Spain
138,51,Brazil
139,47,United States
140,34,United States
141,19,Canada
142,50,United States
143,36,United States
144,53,United Kingdom
145,70,United Kingdom
146,19,Australia
147,21,South Korea
148,20,Canada
149,59,South Korea
150,41,United States
151,52,United States
152,54,United States
153,21,India
154,53,Canada
155,36,Mexico
156,29,Brazil
157,36,United States
158,41,United States
159,57,United States
160,36,Mexico
161,20,United States
162,55,Spain
163,22,United States
164,29,United Kingdom
165,24,Mexico
166,20,South Korea
167,39,United States
168,44,Japan
169,61,United States
170,67,Brazil
171,16,Brazil
172,51,United States
173,58,United States
174,24,United States
175,22,Germany
176,25,United States
177,54,United States
178,37,United States
179,56,South Korea
180,48,United Kingdom
181,70,United States
182,56,India
183,33,United States
184,37,France
185,56,Spain
186,26,Germany
187,51,Brazil
188,51,United States
189,20,Australia
190,60,Mexico
191,50,United States
192,39,Canada
193,25,India
194,18,United States
195,66,Spain
196,18,Mexico
197,29,Brazil
198,58,United States
199,65,United Kingdom
200,42,Spain
201,63,United States
202,31,South Korea
203,67,Japan
204,42,United States
205,63,Mexico
206,66,Mexico
207,67,Brazil
208,63,Japan
209,33,United States
210,60,United States
211,18,South Korea
212,30,United States
213,45,India
214,68,France
215,30,United States
216,58,United States
217,37,United States
218,20,Australia
219,33,India
220,48,India
221,69,United Kingdom
222,17,United States
223,32,United States
224,32,United States
225,54,India
226,62,France
227,43,Canada
228,48,United States
229,52,United States
230,18,Brazil
231,16,United Kingdom
232,67,United Kingdom
233,62,Australia
234,63,Brazil
235,39,India
236,58,Mexico
237,55,United States
238,70,United States
239,35,United Kingdom
240,58,India
241,41,Brazil
242,51,United States
243,42,Brazil
244,40,Brazil
245,27,Canada
246,35,India
247,69,United States
248,34,United States
249,66,Canada
250,57,India
251,44,India
252,29,United Kingdom
253,66,Mexico
254,66,Germany
255,58,United States
256,48,Brazil
257,55,India
258,68,Australia
259,31,Brazil
260,30,France
261,25,United States
262,31,Spain
263,55,Japan
264,20,India
265,56,Canada
266,61,Brazil
267,47,India
268,25,Brazil
269,16,Mexico
270,65,South Korea
271,65,India
272,27,France
273,60,United Kingdom
274,19,United Kingdom
275,70,United States
276,24,France
277,58,United Kingdom
278,51,Canada
279,64,Mexico
280,55,Japan
281,48,India
282,51,India
283,26,Germany
284,46,India
285,64,United States
286,56,United States
287,65,United Kingdom
288,56,United States
289,44,United States
290,34,United States
291,37,United States
292,50,United States
293,25,United States
294,60,United States
295,29,United States
296,42,India
297,45,India
298,29,Japan
299,40,Mexico
300,53,Australia
301,17,South Korea
302,64,Canada
303,46,United States
304,38,United States
305,40,South Korea
306,69,India
307,63,Germany
308,67,Canada
309,30,United Kingdom
310,33,India
311,17,India
312,58,Brazil
313,41,Germany
314,69,India
315,24,Spain
316,50,United States
317,41,Canada
318,58,United States
319,57,India
320,45,United States
321,32,India
322,29,India
323,37,France
324,40,United States
325,69,India
326,69,United States
327,17,Germany
328,19,Spain
329,38,United States
330,20,France
331,57,United States
332,17,Australia
333,28,Japan
334,55,United States
335,24,United Kingdom
336,23,Canada
337,29,India
338,32,France
339,26,Canada
340,63,Germany
341,65,Japan
342,35,United States
343,17,Mexico
344,52,Brazil
345,40,India
346,61,United States
347,53,Brazil
348,56,United States
349,60,France
350,70,Brazil
351,67,United States
352,52,France
353,38,United Kingdom
354,58,India
355,48,Brazil
356,16,Japan
357,68,United Kingdom
358,43,Australia
359,56,Mexico
360,45,Brazil
361,43,United States
362,49,Australia
363,33,Canada
364,50,France
365,45,India
366,62,Canada
367,36,South Korea
368,69,Mexico
369,33,South Korea
370,31,Germany
371,52,Canada
372,40,India
373,47,South Korea
374,27,United Kingdom
375,38,France
376,37,United States
377,54,Brazil
378,33,United Kingdom
379,49,Australia
380,21,United States
381,42,United Kingdom
382,64,United States
383,46,Brazil
384,47,India
385,17,United States
386,30,India
387,31,United States
388,53,India
389,51,United Kingdom
390,43,Spain
391,51,India
392,60,India
393,35,United States
394,23,Germany
395,36,United States
396,50,Australia
397,60,United States
398,29,Germany
399,33,Germany
400,64,United Kingdom
401,34,Spain
402,69,United States
403,30,India
404,35,United States
405,50,United States
406,18,Spain
407,51,United States
408,24,Canada
409,64,United Kingdom
410,16,Canada
411,46,United Kingdom
412,37,United States
413,19,United States
414,46,United States
415,20,India
416,20,Canada
417,59,United States
418,25,Japan
419,35,United States
420,31,United States
421,64,India
422,54,France
423,30,France
424,40,India
425,44,United States
426,53,Spain
427,35,Canada
428,19,Canada
429,63,United States
430,64,United States
431,29,United States
432,21,United States
433,27,United Kingdom
434,26,United States
435,44,Brazil
436,46,United States
437,30,United States
438,34,Brazil
439,45,United States
440,30,Mexico
441,66,France
442,53,Brazil
443,28,India
444,50,United States
445,25,Mexico
446,68,United States
447,19,United States
448,35,Canada
449,68,Canada
450,34,India
451,45,Brazil
452,60,India
453,33,United Kingdom
454,47,India
455,54,United States
456,43,Germany
457,54,United States
458,21,United States
459,59,Japan
460,52,Canada
461,17,Spain
462,59,Japan
463,52,United States
464,64,United States
465,49,Brazil
466,33,United States
467,53,India
468,68,United Kingdom
469,21,United Kingdom
470,42,India
471,58,United States
472,26,India
473,60,United Kingdom
474,58,Australia
475,68,France
476,18,India
477,36,United States
478,23,Spain
479,41,South Korea
480,68,Spain
481,58,South Korea
482,45,India
483,28,United Kingdom
484,55,Germany
485,56,India
486,19,United States
487,51,United States
488,34,India
489,60,United Kingdom
490,17,Spain
491,54,France
492,61,United States
493,51,United States
494,42,United States
495,69,Mexico
496,45,Australia
497,57,Japan
498,47,Mexico
499,34,United Kingdom
500,33,India
501,46,Spain
502,31,India
503,25,India
504,54,United Kingdom
505,24,South Korea
506,33,France
507,70,India
508,66,United Kingdom
509,68,United States
510,62,United States
511,53,Canada
512,58,United Kingdom
513,25,India
514,46,India
515,51,France
516,40,India
517,36,South Korea
518,60,United States
519,40,United States
520,65,India
521,36,Germany
522,61,Mexico
523,40,India
524,58,France
525,57,Spain
526,47,Australia
527,24,United Kingdom
528,53,India
529,22,South Korea
530,44,United States
531,45,United States
532,25,India
533,57,Australia
534,20,India
535,32,India
536,60,India
537,21,South Korea
538,70,Brazil
539,50,India
540,36,Canada
541,64,United Kingdom
542,50,United States
543,20,United States
544,59,Mexico
545,30,Germany
546,43,Spain
547,64,Canada
548,22,India
549,60,United States
550,17,United States
