watch_id,user_id,show_id,watch_date,watch_duration,rating_given
1,206,293,2024-10-24,26,3
2,331,250,2024-12-26,68,4
3,433,18,2025-06-19,104,5
4,165,317,2025-11-30,139,1
5,464,324,2025-10-24,158,5
6,464,253,2025-10-24,58,2
7,464,2,2025-10-25,149,5
8,464,308,2025-10-25,151,3
9,377,62,2025-07-13,157,2
10,178,108,2025-03-14,15,2
11,178,37,2025-03-14,111,4
12,309,89,2025-08-09,93,3
13,518,101,2025-07-10,116,3
14,544,139,2025-10-26,54,5
15,250,23,2025-11-29,162,2
16,530,318,2025-01-18,135,2
17,99,148,2025-07-04,83,3
18,446,160,2024-03-14,76,3
19,258,273,2025-08-11,125,3
20,399,22,2025-07-01,17,4
21,75,87,2025-05-29,126,2
22,32,303,2025-06-30,24,2
23,383,177,2024-05-24,80,3
24,383,321,2024-05-24,152,5
25,383,56,2024-05-24,102,3
26,383,279,2024-05-24,69,5
27,473,83,2024-03-15,132,5
28,366,99,2024-08-28,112,4
29,366,117,2024-08-28,110,5
30,366,223,2024-08-28,60,5
31,366,336,2024-08-28,163,3
32,492,116,2025-01-02,105,5
33,144,16,2025-10-03,73,5
34,415,347,2024-08-05,38,4
35,298,10,2025-06-06,148,5
36,298,76,2025-06-06,142,5
37,298,76,2025-06-06,115,1
38,298,69,2025-06-06,99,1
39,212,30,2025-02-01,35,2
40,534,157,2024-10-07,116,4
41,80,217,2025-01-20,53,1
42,143,133,2024-08-23,116,4
43,122,213,2024-12-04,152,5
44,23,36,2024-05-10,77,3
45,185,211,2025-02-19,127,4
46,483,105,2024-06-23,93,5
47,524,342,2025-12-03,119,2
48,17,23,2025-05-31,148,4
49,545,350,2024-04-30,64,5
50,442,64,2025-01-14,65,5
51,359,131,2025-12-14,80,3
52,419,297,2024-01-06,96,5
53,324,233,2025-10-29,105,5
54,324,118,2025-10-29,141,4
55,324,320,2025-10-29,51,4
56,408,112,2025-11-06,121,5
57,54,93,2025-10-13,42,2
58,270,259,2024-03-22,106,5
59,59,327,2024-06-28,146,4
60,238,8,2025-11-21,105,5
61,362,55,2025-02-19,106,5
62,357,139,2024-10-10,70,2
63,417,109,2025-07-26,102,5
64,257,224,2025-01-21,128,5
65,29,69,2024-09-21,110,4
66,362,276,2024-01-10,36,2
67,183,54,2024-12-28,27,3
68,205,198,2024-09-04,89,5
69,123,38,2025-11-23,149,3
70,282,103,2025-06-07,124,4
71,34,332,2025-02-07,158,1
72,216,122,2024-04-13,100,3
73,352,119,2024-08-03,127,3
74,135,122,2025-12-03,125,5
75,201,96,2025-04-29,48,4
76,201,302,2025-04-29,142,2
77,201,112,2025-04-29,102,4
78,201,139,2025-04-29,116,4
79,264,294,2025-02-25,153,3
80,179,349,2024-10-18,80,4
81,294,207,2024-05-28,143,2
82,74,208,2024-08-21,104,5
83,74,331,2024-08-21,48,5
84,74,123,2024-08-22,163,3
85,258,88,2025-12-18,130,4
86,27,93,2025-06-20,119,3
87,254,121,2025-03-29,115,5
88,334,331,2025-04-23,145,4
89,446,271,2025-10-16,43,3
90,423,78,2024-01-11,138,1
91,423,310,2024-01-11,125,4
92,423,24,2024-01-11,122,5
93,423,145,2024-01-11,152,4
94,423,153,2024-01-11,100,4
95,279,51,2025-06-28,84,5
96,464,328,2024-07-11,83,3
97,464,254,2024-07-11,81,3
98,464,160,2024-07-11,133,5
99,464,324,2024-07-11,88,2
100,464,19,2024-07-12,94,5
101,464,236,2024-07-12,161,3
102,454,32,2024-02-04,96,4
103,320,221,2024-06-11,151,2
104,370,196,2025-11-13,105,4
105,406,280,2024-01-10,117,4
106,255,304,2025-12-03,115,3
107,255,246,2025-12-03,99,3
108,255,295,2025-12-04,126,5
109,22,146,2025-01-01,107,3
110,502,141,2024-07-10,50,3
111,544,323,2024-09-26,72,5
112,544,269,2024-09-26,78,5
113,544,205,2024-09-26,133,5
114,544,188,2024-09-27,111,2
115,544,22,2024-09-26,23,2
116,33,236,2025-05-12,149,5
117,263,173,2025-09-12,80,2
118,263,268,2025-09-12,41,5
119,60,87,2024-09-29,48,2
120,237,157,2024-07-13,41,5
121,367,98,2025-12-20,113,5
122,547,223,2025-03-29,151,4
123,332,330,2025-07-30,127,2
124,407,189,2024-10-18,98,3
125,407,183,2024-10-18,141,4
126,159,145,2024-12-30,108,2
127,159,345,2024-12-30,162,3
128,159,220,2024-12-30,59,4
129,98,239,2024-11-03,64,2
130,445,5,2024-05-03,39,2
131,537,64,2025-08-01,163,5
132,537,287,2025-08-01,98,2
133,537,81,2025-08-01,130,3
134,537,265,2025-08-01,134,4
135,134,115,2025-05-07,164,4
136,249,252,2024-11-27,111,4
137,249,190,2024-11-27,54,5
138,249,97,2024-11-27,99,1
139,383,345,2024-04-25,67,2
140,383,279,2024-04-25,130,1
141,383,163,2024-04-25,136,5
142,495,36,2025-12-12,106,3
