watch_month,total_watch_minutes,total_watch_hours,active_users,sessions,avg_rating
2024-01,66847,1114.12,309,671,3.48
2024-02,52770,879.5,272,523,3.43
2024-03,60354,1005.9,297,627,3.59
2024-04,65310,1088.5,315,682,3.54
2024-05,63304,1055.07,304,649,3.58
2024-06,68238,1137.3,334,702,3.55
2024-07,62146,1035.77,299,638,3.53
2024-08,58084,968.07,296,608,3.51
2024-09,57838,963.97,299,595,3.52
2024-10,57602,960.03,302,596,3.58
2024-11,53678,894.63,289,535,3.64
2024-12,58978,982.97,301,611,3.45
2025-01,64284,1071.4,319,652,3.49
2025-02,51343,855.72,251,512,3.51
2025-03,58299,971.65,297,608,3.57
2025-04,60875,1014.58,299,620,3.46
2025-05,64615,1076.92,321,669,3.54
2025-06,62221,1037.02,307,634,3.54
2025-07,67184,1119.73,325,662,3.53
2025-08,58672,977.87,279,577,3.45
2025-09,60019,1000.32,286,619,3.55
2025-10,64646,1077.43,308,660,3.62
2025-11,67460,1124.33,334,687,3.48
2025-12,66174,1102.9,330,663,3.52
