show_id,title,genre,release_year,total_sessions,total_watch_minutes,total_watch_hours,avg_rating,popularity_rank
209,Empire Diaries 209,Animation,1998,78,7841,130.68,3.45,1
213,Frontier Dreams 213,Animation,2020,70,7622,127.03,3.49,2
227,Legacy Stories,Animation,2006,78,6931,115.52,3.37,3
56,Midnight City,Horror,2017,68,6902,115.03,3.37,4
176,Witness City 176,Animation,2020,67,6803,113.38,3.6,5
196,Archive Dreams 196,Animation,1992,69,6770,112.83,3.33,6
169,Voyage House 169,Sci-Fi,2022,64,6660,111.0,3.55,7
134,Empire Road,Animation,1999,71,6580,109.67,3.56,8
61,Frontier City 61,Romance,2017,64,6568,109.47,3.19,9
76,Pulse House,Animation,2025,74,6545,109.08,3.62,10
253,Voyage Protocol 253,Sci-Fi,2002,65,6502,108.37,3.26,11
101,Empire Dreams 101,Action,2023,66,6436,107.27,3.17,12
39,Horizon City,Animation,2013,63,6425,107.08,3.38,13
171,Midnight Dreams 171,Animation,2006,64,6417,106.95,3.41,14
108,Signal City,Romance,2018,60,6327,105.45,3.4,15
325,Pulse Protocol 325,Documentary,2024,59,6282,104.7,3.44,16
13,Frontier Stories 13,Action,1993,61,6280,104.67,3.62,17
294,Frontier Run 294,Action,2011,65,6237,103.95,3.55,18
139,Circuit Run,Horror,2000,67,6192,103.2,3.64,19
128,Archive Season 128,Animation,2015,67,6170,102.83,3.39,20
78,Midnight Files 78,Comedy,2009,57,6133,102.22,3.6,21
336,Midnight Dreams 336,Action,1991,62,6132,102.2,3.6,22
122,Voyage House 122,Action,2013,61,6103,101.72,3.39,23
295,Frontier City 295,Animation,2024,62,6099,101.65,3.73,24
270,Circuit Files 270,Action,2025,57,6034,100.57,3.84,25
