user_id,recommendation_rank,favorite_genre,show_id,title,release_year,total_sessions,total_watch_minutes,avg_rating
1,1,Horror,56,Midnight City,2017,68,6902,3.37
1,2,Horror,139,Circuit Run,2000,67,6192,3.64
1,3,Horror,163,Legacy Diaries 163,2021,58,5859,3.69
1,4,Horror,23,Frontier Protocol,2019,51,5585,3.76
1,5,Horror,10,Empire Dreams,1996,51,5303,3.76
2,1,Sci-Fi,253,Voyage Protocol 253,2002,65,6502,3.26
2,2,Sci-Fi,265,Voyage Run 265,2014,57,5967,3.86
2,3,Sci-Fi,36,Pulse Run,1999,61,5807,3.54
2,4,Sci-Fi,83,Circuit Protocol 83,1995,62,5789,3.65
2,5,Sci-Fi,298,Archive Files 298,2006,50,5108,3.58
3,1,Sci-Fi,169,Voyage House 169,2022,64,6660,3.55
3,2,Sci-Fi,36,Pulse Run,1999,61,5807,3.54
3,3,Sci-Fi,184,Pulse Dreams,2014,54,5177,3.5
3,4,Sci-Fi,228,Witness Road 228,2016,46,5054,3.33
3,5,Sci-Fi,24,Legacy Files,2004,49,4921,3.45
4,1,Documentary,325,Pulse Protocol 325,2024,59,6282,3.44
4,2,Documentary,117,Horizon Run 117,2010,58,5853,3.59
4,3,Documentary,273,Voyage Protocol 273,2006,55,5687,3.73
4,4,Documentary,338,Horizon Run 338,1993,57,5644,3.35
4,5,Documentary,224,Legacy House 224,1999,55,5111,3.58
5,1,Documentary,117,Horizon Run 117,2010,58,5853,3.59
5,2,Documentary,273,Voyage Protocol 273,2006,55,5687,3.73
5,3,Documentary,338,Horizon Run 338,1993,57,5644,3.35
5,4,Documentary,224,Legacy House 224,1999,55,5111,3.58
5,5,Documentary,165,Kingdom Road 165,2008,53,5088,3.66
6,1,Romance,61,Frontier City 61,2017,64,6568,3.19
6,2,Romance,108,Signal City,2018,60,6327,3.4
6,3,Romance,9,Circuit Season,2009,60,5957,3.3
6,4,Romance,57,Witness Diaries 57,2018,52,5380,3.58
6,5,Romance,97,Archive Run 97,2015,50,5249,3.52
7,1,Action,101,Empire Dreams 101,2023,66,6436,3.17
7,2,Action,13,Frontier Stories 13,1993,61,6280,3.62
7,3,Action,294,Frontier Run 294,2011,65,6237,3.55
7,4,Action,336,Midnight Dreams 336,1991,62,6132,3.6
7,5,Action,122,Voyage House 122,2013,61,6103,3.39
8,1,Crime,179,Midnight Road 179,2010,58,5842,3.31
8,2,Crime,291,Signal Dreams 291,2001,59,5547,3.42
8,3,Crime,205,Horizon Files,2018,49,5247,3.78
8,4,Crime,304,Horizon Protocol 304,1990,51,5140,3.9
8,5,Crime,152,Horizon Protocol 152,2016,52,5129,3.1
9,1,Horror,139,Circuit Run,2000,67,6192,3.64
9,2,Horror,163,Legacy Diaries 163,2021,58,5859,3.69
9,3,Horror,23,Frontier Protocol,2019,51,5585,3.76
9,4,Horror,15,Empire Run,2004,56,5566,3.61
9,5,Horror,14,Kingdom City,2008,51,5242,3.73
10,1,Action,294,Frontier Run 294,2011,65,6237,3.55
10,2,Action,270,Circuit Files 270,2025,57,6034,3.84
10,3,Action,2,Signal Road,2001,55,5899,3.75
10,4,Action,324,Circuit Road 324,1992,58,5867,3.45
10,5,Action,160,Voyage Run 160,1997,58,5748,3.67
11,1,Comedy,78,Midnight Files 78,2009,57,6133,3.6
11,2,Comedy,305,Frontier Dreams 305,2007,49,5190,3.57
11,3,Comedy,344,Empire Dreams 344,1993,45,5058,3.49
11,4,Comedy,186,Archive House,1995,52,5033,3.58
11,5,Comedy,217,Witness Run 217,1998,52,5018,3.63
12,1,Sci-Fi,169,Voyage House 169,2022,64,6660,3.55
12,2,Sci-Fi,83,Circuit Protocol 83,1995,62,5789,3.65
12,3,Sci-Fi,184,Pulse Dreams,2014,54,5177,3.5
12,4,Sci-Fi,91,Empire Files,2008,56,5168,3.38
12,5,Sci-Fi,298,Archive Files 298,2006,50,5108,3.58
13,1,Crime,291,Signal Dreams 291,2001,59,5547,3.42
13,2,Crime,205,Horizon Files,2018,49,5247,3.78
13,3,Crime,304,Horizon Protocol 304,1990,51,5140,3.9
13,4,Crime,296,Voyage City 296,1998,48,5031,3.44
13,5,Crime,212,Signal Run 212,1994,48,4987,3.69
14,1,Action,101,Empire Dreams 101,2023,66,6436,3.17
14,2,Action,13,Frontier Stories 13,1993,61,6280,3.62
14,3,Action,294,Frontier Run 294,2011,65,6237,3.55
14,4,Action,336,Midnight Dreams 336,1991,62,6132,3.6
14,5,Action,122,Voyage House 122,2013,61,6103,3.39
15,1,Documentary,325,Pulse Protocol 325,2024,59,6282,3.44
15,2,Documentary,117,Horizon Run 117,2010,58,5853,3.59
15,3,Documentary,273,Voyage Protocol 273,2006,55,5687,3.73
15,4,Documentary,338,Horizon Run 338,1993,57,5644,3.35
15,5,Documentary,224,Legacy House 224,1999,55,5111,3.58
16,1,Action,101,Empire Dreams 101,2023,66,6436,3.17
16,2,Action,13,Frontier Stories 13,1993,61,6280,3.62
16,3,Action,294,Frontier Run 294,2011,65,6237,3.55
16,4,Action,336,Midnight Dreams 336,1991,62,6132,3.6
16,5,Action,122,Voyage House 122,2013,61,6103,3.39
17,1,Comedy,305,Frontier Dreams 305,2007,49,5190,3.57
17,2,Comedy,344,Empire Dreams 344,1993,45,5058,3.49
17,3,Comedy,217,Witness Run 217,1998,52,5018,3.63
17,4,Comedy,350,Empire Road 350,1999,49,4700,3.53
17,5,Comedy,263,Kingdom City 263,2004,42,4426,3.9
18,1,Romance,61,Frontier City 61,2017,64,6568,3.19
18,2,Romance,108,Signal City,2018,60,6327,3.4
18,3,Romance,9,Circuit Season,2009,60,5957,3.3
18,4,Romance,97,Archive Run 97,2015,50,5249,3.52
18,5,Romance,243,Pulse House 243,2005,49,5160,3.61
19,1,Documentary,224,Legacy House 224,1999,55,5111,3.58
19,2,Documentary,165,Kingdom Road 165,2008,53,5088,3.66
19,3,Documentary,111,Horizon City 111,2007,50,5083,3.66
19,4,Documentary,16,Witness Road,1998,49,4965,3.49
19,5,Documentary,300,Frontier Run 300,2002,52,4955,3.29
20,1,Animation,213,Frontier Dreams 213,2020,70,7622,3.49
20,2,Animation,227,Legacy Stories,2006,78,6931,3.37
20,3,Animation,196,Archive Dreams 196,1992,69,6770,3.33
20,4,Animation,134,Empire Road,1999,71,6580,3.56
20,5,Animation,39,Horizon City,2013,63,6425,3.38
21,1,Action,336,Midnight Dreams 336,1991,62,6132,3.6
21,2,Action,122,Voyage House 122,2013,61,6103,3.39
21,3,Action,270,Circuit Files 270,2025,57,6034,3.84
21,4,Action,2,Signal Road,2001,55,5899,3.75
21,5,Action,324,Circuit Road 324,1992,58,5867,3.45
22,1,Action,13,Frontier Stories 13,1993,61,6280,3.62
22,2,Action,294,Frontier Run 294,2011,65,6237,3.55
22,3,Action,122,Voyage House 122,2013,61,6103,3.39
22,4,Action,270,Circuit Files 270,2025,57,6034,3.84
22,5,Action,2,Signal Road,2001,55,5899,3.75
23,1,Documentary,325,Pulse Protocol 325,2024,59,6282,3.44
23,2,Documentary,273,Voyage Protocol 273,2006,55,5687,3.73
23,3,Documentary,222,Frontier Road 222,2025,52,5283,3.42
23,4,Documentary,224,Legacy House 224,1999,55,5111,3.58
23,5,Documentary,165,Kingdom Road 165,2008,53,5088,3.66
24,1,Romance,61,Frontier City 61,2017,64,6568,3.19
24,2,Romance,108,Signal City,2018,60,6327,3.4
24,3,Romance,9,Circuit Season,2009,60,5957,3.3
