user_id,genre_rank,genre,sessions,total_watch_minutes,avg_rating
1,1,Horror,10,1105,3.8
1,2,Drama,7,797,3.86
1,3,Sci-Fi,6,548,4.33
2,1,Sci-Fi,12,929,3.08
2,2,Thriller,6,483,4.0
2,3,Crime,4,380,3.5
3,1,Sci-Fi,21,1823,4.0
3,2,Romance,12,1277,3.33
3,3,Action,7,644,4.43
4,1,Documentary,5,639,3.8
4,2,Romance,7,560,4.0
4,3,Comedy,5,471,3.8
5,1,Documentary,11,1255,3.91
5,2,Horror,11,995,4.0
5,3,Comedy,6,480,2.5
6,1,Romance,6,711,4.0
6,2,Crime,3,439,5.0
6,3,Drama,4,341,4.0
7,1,Action,5,659,4.6
7,2,Sci-Fi,5,619,4.0
7,3,Romance,1,130,3.0
8,1,Crime,4,404,3.5
8,2,Romance,3,370,3.0
8,3,Comedy,4,319,3.75
9,1,Horror,12,1377,3.83
9,2,Romance,10,792,4.1
9,3,Documentary,4,426,3.5
10,1,Action,8,736,4.13
10,2,Romance,5,565,3.2
10,3,Documentary,3,403,3.67
11,1,Comedy,8,870,3.5
11,2,Horror,6,723,4.0
11,3,Romance,6,607,4.33
12,1,Sci-Fi,8,647,4.25
12,2,Romance,4,359,4.5
12,3,Animation,3,272,4.33
13,1,Crime,7,733,3.14
13,2,Romance,8,721,3.63
13,3,Documentary,7,615,3.71
14,1,Action,7,725,3.71
14,2,Horror,8,723,3.63
14,3,Sci-Fi,4,490,2.5
15,1,Documentary,10,1034,3.9
15,2,Action,5,490,3.8
15,3,Comedy,3,412,2.33
16,1,Action,7,694,4.43
16,2,Horror,4,487,3.25
16,3,Documentary,3,443,4.33
17,1,Comedy,10,1282,4.3
17,2,Horror,3,279,4.0
17,3,Action,2,224,2.5
18,1,Romance,11,1104,4.09
18,2,Documentary,10,858,4.1
18,3,Crime,2,217,2.0
19,1,Documentary,16,1593,3.69
19,2,Drama,12,1128,4.17
19,3,Sci-Fi,10,1064,3.9
20,1,Animation,14,1229,3.14
20,2,Romance,8,806,3.75
20,3,Action,4,316,3.0
21,1,Action,12,1236,3.75
21,2,Drama,9,714,4.22
21,3,Romance,2,251,2.0
22,1,Action,9,924,3.33
22,2,Thriller,7,848,3.57
22,3,Drama,1,163,2.0
23,1,Documentary,11,1154,3.45
23,2,Sci-Fi,9,828,3.44
23,3,Animation,2,253,2.0
24,1,Romance,6,585,3.17
24,2,Animation,6,512,4.0
24,3,Horror,2,117,4.0
25,1,Action,8,755,4.13
25,2,Crime,7,604,3.86
25,3,Documentary,2,237,5.0
26,1,Horror,14,1399,4.0
26,2,Crime,7,608,4.29
26,3,Animation,4,526,4.5
27,1,Thriller,13,1275,3.77
27,2,Documentary,6,727,3.67
27,3,Animation,5,472,3.2
28,1,Thriller,10,1086,3.9
28,2,Comedy,2,277,3.0
28,3,Crime,2,173,3.5
29,1,Drama,8,864,3.88
29,2,Thriller,7,725,3.71
29,3,Crime,6,433,4.33
30,1,Crime,11,1396,3.55
30,2,Drama,10,1077,2.9
30,3,Comedy,7,627,3.86
31,1,Drama,8,827,4.13
31,2,Animation,3,348,3.67
31,3,Sci-Fi,2,236,4.5
32,1,Thriller,12,1150,3.67
32,2,Romance,8,870,4.75
32,3,Comedy,5,516,3.8
33,1,Thriller,9,901,4.22
33,2,Drama,6,466,3.5
33,3,Romance,4,408,4.0
34,1,Crime,9,712,3.33
34,2,Horror,9,686,3.89
34,3,Documentary,4,457,4.25
35,1,Drama,6,556,3.83
35,2,Horror,6,519,4.33
35,3,Crime,4,299,4.25
36,1,Animation,7,547,4.29
36,2,Drama,4,443,4.25
36,3,Sci-Fi,4,368,3.25
37,1,Drama,12,1147,3.75
37,2,Animation,9,731,3.33
37,3,Action,6,506,3.83
38,1,Crime,6,546,3.67
38,2,Action,4,370,3.75
38,3,Drama,3,285,4.67
39,1,Sci-Fi,11,1165,3.09
39,2,Crime,10,1152,3.1
39,3,Thriller,7,559,3.43
40,1,Comedy,11,1110,4.45
40,2,Animation,5,592,4.4
40,3,Thriller,2,283,3.0
41,1,Romance,12,1128,3.42
41,2,Action,5,599,4.0
41,3,Animation,7,515,4.29
42,1,Sci-Fi,5,502,3.6
42,2,Action,5,426,3.0
42,3,Documentary,5,394,4.4
43,1,Sci-Fi,6,639,4.33
43,2,Comedy,6,489,2.67
43,3,Documentary,5,312,3.6
44,1,Horror,11,1021,3.55
44,2,Romance,10,840,4.4
44,3,Crime,4,374,4.25
45,1,Comedy,8,886,3.63
45,2,Action,5,587,4.4
45,3,Drama,4,496,3.5
46,1,Sci-Fi,5,424,4.6
46,2,Comedy,3,424,3.67
46,3,Crime,3,376,3.67
47,1,Sci-Fi,14,1179,3.71
47,2,Crime,10,960,3.8
47,3,Horror,9,906,3.67
48,1,Drama,16,1883,3.38
48,2,Animation,12,1193,3.75
48,3,Thriller,7,792,4.0
49,1,Sci-Fi,10,1014,3.7
49,2,Comedy,7,786,4.14
49,3,Horror,3,400,4.67
50,1,Drama,12,1003,3.17
50,2,Documentary,9,909,4.11
50,3,Comedy,8,692,3.38
51,1,Animation,6,684,3.67
51,2,Romance,4,346,4.25
51,3,Drama,2,297,3.5
52,1,Action,13,1114,3.85
52,2,Drama,4,466,3.75
52,3,Comedy,5,425,4.0
53,1,Action,13,1175,3.92
53,2,Crime,8,712,4.38
53,3,Drama,4,274,3.75
54,1,Thriller,9,897,3.56
54,2,Drama,7,835,4.0
54,3,Documentary,4,328,4.25
55,1,Thriller,11,1065,3.82
55,2,Romance,10,932,4.0
55,3,Sci-Fi,5,550,4.6
56,1,Action,13,1438,3.54
56,2,Thriller,5,598,4.2
56,3,Comedy,5,545,3.8
57,1,Animation,14,1170,3.57
