activity_month,active_users,retained_users,retention_rate_pct
2024-01,309,0,0.0
2024-02,272,150,55.15
2024-03,297,133,44.78
2024-04,315,169,53.65
2024-05,304,174,57.24
2024-06,334,192,57.49
2024-07,299,183,61.2
2024-08,296,162,54.73
2024-09,299,153,51.17
2024-10,302,169,55.96
2024-11,289,157,54.33
2024-12,301,150,49.83
2025-01,319,176,55.17
2025-02,251,151,60.16
2025-03,297,135,45.45
2025-04,299,168,56.19
2025-05,321,175,54.52
2025-06,307,176,57.33
2025-07,325,183,56.31
2025-08,279,165,59.14
2025-09,286,137,47.9
2025-10,308,160,51.95
2025-11,334,201,60.18
2025-12,330,194,58.79
